DB And Cache	DB													DB And Cache	DB													DB And Cache	DB
347	596																												
618	624																												
680	695																												
792	726																												
905	653																												
934	834																												
1007	813																												
1069	937																												
1107	1001																												
1009	983																												
1185	1006																												
1174	1166																												
1185	1069																												
998	1195																												
995	1386																												
1244	1207																												
1588	1518																												
1809	1016																												
1757	1530																												
1414	1136																												
1938	976																												
1530	1385																												
1724	1478																												
1834	1287																												
1760	1469																												
1623	1287																												
1081	1398																												
1367	1094																												
1129	1442																												
1617	967																												
1698	1228																												
1442	1355																												
1673	1301																												
1660	1352																												
1531	1219																												
1279	1268																												
1295	1420																												
1184	1506																												
1013	1546																												
1171	1315																												
1219	1129																												
1324	1101																												
1387	1451																												
1257	865																												
1189	1158																												
1095	954																												
85	75																												
159	111																												
299	75																												
430	159																												
514	218																												
495	298																												
499	338																												
668	385																												
637	380																												
737	437																												
573	591																												
755	633																												
921	476																												
1032	748																												
1103	711																												
957	875																												
1172	127																												
1253	134																												
1281	1019																												
1281	202																												
1474	1141																												
1575	1086																												
1706	1286																												
1425	1431																												
1801	1430																												
1914	1217																												
1840	1643																												
2024	1484																												
2073	1756																												
1957	1608																												
2100	1766																												
2357	1503																												
2356	1564																												
2769	1722																												
2873	1139																												
2689	1913																												
2756	1843																												
2632	1531																												
2953	1198																												
2656	1800																												
2216	1671																												
2219	1570																												
2654	1747																												
2821	782																												
2253	1781																												
2632	1505																												
2633	1910																												
2632	1172																												
2404	1682																												
2632	1552																												
228	16																												
487	16																												
260	100																												
657	213																												
277	239																												
544	347																												
475	413																												
94	443																												
1154	315																												
633	626																												
1282	673																												
1447	756																												
1455	837																												
1556	986																												
1504	907																												
1209	1003																												
1819	1037																												
1687	846																												
1135	1238																												
2191	722																												
2170	931																												
1664	1598																												
2755	1483																												
2115	1184																												
2030	1618																												
2045	1473																												
2276	1064																												
3075	1517																												
2013	1149																												
2382	1271																												
3574	264																												
3421	1219																												
3515	1260																												
3261	1566																												
3554	1635																												
3608	1427																												
3342	1353																												
3173	1543																												
2365	1457																												
3513	879																												
2728	1652																												
1733	1159																												
2030	1101																												
3342	1678																												
3347	1618																												
3425	1618																												
579	1536																												
3344	1396																												
2893	1410																												
3082	1500																												
